Div,Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoint,AwayPoint,HomeDiff,AwayDiff,HomeRank,AwayRank,HomeGF,HomeGA,AwayGF,AwayGA
I1,03/11/2024,2024-2025,Napoli,Atalanta,0.0,3.0,A,0.0,2.0,A,13.0,12.0,3.0,3.0,10.0,8.0,4.0,3.0,1.0,3.0,0.0,0.0,25,19,13,12,1,4,18,5,26,14
I1,03/11/2024,2024-2025,Torino,Fiorentina,0.0,1.0,A,0.0,1.0,A,9.0,8.0,1.0,3.0,16.0,12.0,1.0,3.0,2.0,1.0,0.0,0.0,14,19,0,12,10,5,15,15,21,9
I1,03/11/2024,2024-2025,Verona,Roma,3.0,2.0,H,2.0,1.0,H,7.0,14.0,3.0,3.0,16.0,11.0,2.0,2.0,2.0,2.0,1.0,0.0,9,13,-9,-1,14,11,13,22,10,11
I1,03/11/2024,2024-2025,Inter,Venezia,1.0,0.0,H,0.0,0.0,D,20.0,7.0,8.0,2.0,14.0,15.0,9.0,3.0,2.0,1.0,0.0,0.0,21,8,11,-8,5,18,24,13,10,18
I1,04/11/2024,2024-2025,Empoli,Como,1.0,0.0,H,0.0,0.0,D,9.0,12.0,4.0,2.0,17.0,9.0,3.0,6.0,1.0,0.0,0.0,0.0,11,9,-2,-9,13,15,7,9,12,21
I1,04/11/2024,2024-2025,Parma,Genoa,0.0,1.0,A,0.0,0.0,D,13.0,15.0,0.0,7.0,5.0,18.0,3.0,7.0,2.0,5.0,0.0,0.0,9,6,-2,-14,14,20,14,16,7,21
I1,04/11/2024,2024-2025,Lazio,Cagliari,2.0,1.0,H,1.0,1.0,D,20.0,6.0,5.0,1.0,12.0,17.0,2.0,3.0,3.0,8.0,0.0,2.0,19,9,9,-9,6,15,22,13,8,17
I1,07/11/2024,2024-2025,Genoa,Como,1.0,1.0,D,0.0,1.0,A,8.0,18.0,4.0,8.0,17.0,15.0,8.0,5.0,4.0,3.0,0.0,0.0,9,9,-13,-10,17,15,8,21,12,22
I1,08/11/2024,2024-2025,Lecce,Empoli,1.0,1.0,D,0.0,1.0,A,18.0,11.0,3.0,6.0,7.0,24.0,4.0,3.0,0.0,3.0,0.0,0.0,8,14,-16,-1,20,11,4,20,8,9
I1,09/11/2024,2024-2025,Venezia,Parma,1.0,2.0,A,1.0,1.0,D,12.0,10.0,6.0,3.0,9.0,10.0,6.0,6.0,1.0,2.0,0.0,0.0,8,9,-9,-3,20,16,10,19,14,17
I1,09/11/2024,2024-2025,Cagliari,Milan,3.0,3.0,D,1.0,2.0,A,16.0,13.0,7.0,6.0,7.0,11.0,6.0,3.0,0.0,2.0,0.0,0.0,9,17,-10,6,17,7,9,19,17,11
